Load address: $C000 Init address: $C048 Play address: $C021
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000 F1 Low F |
|     1 | 41B8  B-5 C7  15 0C0A 808 | 052C  D#2 9B  41 0B09 2B2 | 0AF5  ... ..  01 0809 ... | .... .. ... . |
|     2 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 332 | ....  ... ..  .. .... ... | 1E00 .. ... . |
|     3 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 3B2 | ....  ... ..  .. .... ... | 2200 .. ... . |
|     4 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 432 | ....  ... ..  .. .... ... | 2600 .. ... . |
|     5 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 4B2 | ....  ... ..  .. .... ... | 2A00 .. ... . |
|     6 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 532 | ....  ... ..  .. .... ... | 2E00 .. ... . |
|     7 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... ... | 3200 .. ... . |
|     8 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 632 | ....  ... ..  .. .... ... | 3600 .. ... . |
|     9 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 6B2 | ....  ... ..  .. .... ... | 3A00 .. ... . |
|    10 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 732 | ....  ... ..  .. .... ... | 3E00 .. ... . |
|    11 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 7B2 | ....  ... ..  .. .... ... | 4200 .. ... . |
|    12 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 832 | ....  ... ..  .. .... ... | 4600 .. ... . |
|    13 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... ... | 4A00 .. ... . |
|    14 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 932 | ....  ... ..  .. .... ... | 4E00 .. ... . |
|    15 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 9B2 | ....  ... ..  .. .... ... | 5200 .. ... . |
|    16 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... A32 | ....  ... ..  .. .... ... | 5600 .. ... . |
|    17 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... AB2 | ....  ... ..  .. .... ... | 5A00 .. ... . |
|    18 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... B32 | ....  ... ..  .. .... ... | 5E00 .. ... . |
|    19 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... BB2 | ....  ... ..  .. .... ... | 6200 .. ... . |
|    20 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... C32 | ....  ... ..  .. .... ... | 6600 .. ... . |
|    21 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... CB2 | ....  ... ..  .. .... ... | 6A00 .. ... . |
|    22 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... D32 | ....  ... ..  .. .... ... | .... .. ... . |
|    23 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... DB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    24 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... E32 | ....  ... ..  .. .... ... | .... .. ... . |
|    25 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... EB2 | ....  ... ..  .. .... ... | .... .. ... . |
