Load address: $1000 Init address: $1048 Play address: $1021
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000 F1 Low F |
|     1 | 04E2  D-2 9A  41 0A8C 141 | 1388  D-4 B2  41 086C 444 | 1388  D-4 B2  41 0AAA 141 | .... .. ... . |
|     2 | ....  ... ..  .. .... 181 | 1739 (F-4 B5) .. .... 484 | ....  ... ..  .. .... 111 | F300 .. ... . |
|     3 | ....  ... ..  .. .... 1C1 | ....  ... ..  .. .... 4C4 | ....  ... ..  .. .... 0E1 | .... .. ... . |
|     4 | ....  ... ..  .. .... 201 | 1D46 (A-4 B9) .. .... 504 | ....  ... ..  .. .... 0B1 | .... .. ... . |
|     5 | ....  ... ..  .. .... 241 | ....  ... ..  .. .... 544 | ....  ... ..  .. .... 081 | .... .. ... . |
|     6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 051 | .... .. ... . |
|     7 | ....  ... ..  .. .... 141 | 2710 (D-5 BE) .. .... 444 | ....  ... ..  .. .... 021 | .... .. ... . |
|     8 | ....  ... ..  .. .... 181 | 2E72 (F-5 C1) .. .... 484 | ....  ... ..  .. .... FF1 | .... .. ... . |
|     9 | ....  ... ..  .. .... 1C1 | ....  ... ..  .. .... 4C4 | ....  ... ..  .. .... FC1 | .... .. ... . |
|    10 | ....  ... ..  .. .... 201 | 3A8C (A-5 C5) .. .... 504 | ....  ... ..  .. .... F91 | .... .. ... . |
|    11 | ....  ... ..  .. .... 241 | ....  ... ..  .. .... 544 | ....  ... ..  .. .... F61 | .... .. ... . |
|    12 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 584 | ....  ... ..  .. .... F31 | .... .. ... . |
|    13 | ....  ... ..  .. .... 141 | 4E20 (D-6 CA) .. .... 5C4 | ....  ... ..  .. .... F01 | .... .. ... . |
|    14 | ....  ... ..  .. .... 181 | ....  ... ..  .. .... 604 | ....  ... ..  .. .... ED1 | 7300 .. ... . |
|    15 | ....  ... ..  .. .... 1C1 | ....  ... ..  .. .... 644 | ....  ... ..  .. .... EA1 | 6500 .. ... . |
|    16 | ....  ... ..  .. .... 201 | 2E72 (F-5 C1) .. .... 684 | ....  ... ..  .. .... E71 | 5700 .. ... . |
|    17 | ....  ... ..  .. .... 241 | ....  ... ..  .. .... 6C4 | ....  ... ..  .. .... E41 | 4900 .. ... . |
|    18 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... E11 | .... .. ... . |
|    19 | ....  ... ..  .. .... 141 | 1388 (D-4 B2) .. .... 444 | ....  ... ..  .. .... DE1 | .... .. ... . |
|    20 | ....  ... ..  .. .... 181 | 1739 (F-4 B5) .. .... 484 | ....  ... ..  .. .... DB1 | 7300 .. ... . |
|    21 | ....  ... ..  .. .... 1C1 | ....  ... ..  .. .... 4C4 | ....  ... ..  .. .... D81 | 6500 .. ... . |
|    22 | ....  ... ..  .. .... 201 | 1D46 (A-4 B9) .. .... 504 | ....  ... ..  .. .... D51 | 5700 .. ... . |
|    23 | ....  ... ..  .. .... 241 | ....  ... ..  .. .... 544 | ....  ... ..  .. .... D21 | 4900 .. ... . |
|    24 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... CF1 | .... .. ... . |
|    25 | 09C4 (D-3 A6) .. .... 141 | 2710 (D-5 BE) .. .... 444 | ....  ... ..  .. .... CC1 | .... .. ... . |
