Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000 00 Off 0 |
|     1 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... F |
|     2 | 0080  ... ..  .. .... ... | 0080  ... ..  .. .... ... | 0080  ... ..  .. .... ... | .... .. ... . |
|     3 | 0100  ... ..  .. .... ... | 0100  ... ..  .. .... ... | 0100  ... ..  .. .... ... | .... .. ... . |
|     4 | 0080  ... ..  .. .... ... | 0080  ... ..  .. .... ... | 0080  ... ..  .. .... ... | .... .. ... . |
|     5 | 0000  ... ..  .. 0F00 ... | 0000  ... ..  .. 0F00 ... | 0000  ... ..  .. 0F00 ... | .... .. ... . |
|     6 | FF80  ... ..  .. .... ... | FF80  ... ..  .. .... ... | FF80  ... ..  .. .... ... | .... .. ... . |
|     7 | ....  ... ..  09 E38A ... | ....  ... ..  09 E38A ... | ....  ... ..  09 E38A ... | .... .. ... . |
|     8 | 0343  G-1 93  11 .... A40 | 03A9  A-1 95  11 .... A40 | 041C  B-1 97  11 .... A40 | .... .. ... . |
|     9 | ....  ... ..  .. .... 888 | ....  ... ..  .. .... 888 | ....  ... ..  .. .... 888 | .... .. ... . |
|    10 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    11 | 0685 (G-2 9F) .. .... 88E | 0752 (A-2 A1) .. .... 88E | 0837 (B-2 A3) .. .... 88E | .... .. ... . |
|    12 | ....  ... ..  .. .... 894 | ....  ... ..  .. .... 894 | ....  ... ..  .. .... 894 | .... .. ... . |
|    13 | ....  ... ..  .. .... 89A | ....  ... ..  .. .... 89A | ....  ... ..  .. .... 89A | .... .. ... . |
|    14 | 03E1 (A#1 96) .. .... 8A0 | 045A (C-2 98) .. .... 8A0 | 04E2 (D-2 9A) .. .... 8A0 | .... .. ... . |
|    15 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    16 | ....  ... ..  .. .... 8A6 | ....  ... ..  .. .... 8A6 | ....  ... ..  .. .... 8A6 | .... .. ... . |
|    17 | 04E2 (D-2 9A) .. .... 8AC | 057C (E-2 9C) .. .... 8AC | 0628 (F#2 9E) .. .... 8AC | .... .. ... . |
|    18 | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... 8B2 | .... .. ... . |
|    19 | ....  ... ..  .. .... 8B8 | ....  ... ..  .. .... 8B8 | ....  ... ..  .. .... 8B8 | .... .. ... . |
|    20 | 0685 (G-2 9F) .. .... ... | 0752 (A-2 A1) .. .... ... | 0837 (B-2 A3) .. .... ... | .... .. ... . |
|    21 | ....  ... ..  .. .... 8BE | ....  ... ..  .. .... 8BE | ....  ... ..  .. .... 8BE | .... .. ... . |
|    22 | ....  ... ..  .. .... 8C4 | ....  ... ..  .. .... 8C4 | ....  ... ..  .. .... 8C4 | .... .. ... . |
|    23 | 03E1 (A#1 96) .. .... 8CA | 045A (C-2 98) .. .... 8CA | 04E2 (D-2 9A) .. .... 8CA | .... .. ... . |
|    24 | ....  ... ..  .. .... 8D0 | ....  ... ..  .. .... 8D0 | ....  ... ..  .. .... 8D0 | .... .. ... . |
|    25 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    26 | 04E2 (D-2 9A) .. .... 8D6 | 057C (E-2 9C) .. .... 8D6 | 0628 (F#2 9E) .. .... 8D6 | .... .. ... . |
|    27 | ....  ... ..  .. .... 8DC | ....  ... ..  .. .... 8DC | ....  ... ..  .. .... 8DC | .... .. ... . |
|    28 | ....  ... ..  .. .... 8E2 | ....  ... ..  .. .... 8E2 | ....  ... ..  .. .... 8E2 | .... .. ... . |
|    29 | 0685 (G-2 9F) .. .... 8E8 | 0752 (A-2 A1) .. .... 8E8 | 0837 (B-2 A3) .. .... 8E8 | .... .. ... . |
|    30 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    31 | ....  ... ..  .. .... 8EE | ....  ... ..  .. .... 8EE | ....  ... ..  .. .... 8EE | .... .. ... . |
|    32 | 03E1 (A#1 96) .. .... 8F4 | 045A (C-2 98) .. .... 8F4 | 04E2 (D-2 9A) .. .... 8F4 | .... .. ... . |
|    33 | ....  ... ..  .. .... 8FA | ....  ... ..  .. .... 8FA | ....  ... ..  .. .... 8FA | .... .. ... . |
|    34 | ....  ... ..  .. .... 900 | ....  ... ..  .. .... 900 | ....  ... ..  .. .... 900 | .... .. ... . |
|    35 | 04E2 (D-2 9A) .. .... ... | 057C (E-2 9C) .. .... ... | 0628 (F#2 9E) .. .... ... | .... .. ... . |
|    36 | ....  ... ..  .. .... 906 | ....  ... ..  .. .... 906 | ....  ... ..  .. .... 906 | .... .. ... . |
|    37 | ....  ... ..  .. .... 90C | ....  ... ..  .. .... 90C | ....  ... ..  .. .... 90C | .... .. ... . |
|    38 | 0685 (G-2 9F) .. .... 912 | 0752 (A-2 A1) .. .... 912 | 0837 (B-2 A3) .. .... 912 | .... .. ... . |
|    39 | ....  ... ..  .. .... 918 | ....  ... ..  .. .... 918 | ....  ... ..  .. .... 918 | .... .. ... . |
|    40 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    41 | 03E1 (A#1 96) .. .... 91E | 045A (C-2 98) .. .... 91E | 04E2 (D-2 9A) .. .... 91E | .... .. ... . |
|    42 | ....  ... ..  .. .... 924 | ....  ... ..  .. .... 924 | ....  ... ..  .. .... 924 | .... .. ... . |
|    43 | ....  ... ..  .. .... 92A | ....  ... ..  .. .... 92A | ....  ... ..  .. .... 92A | .... .. ... . |
|    44 | 04E2 (D-2 9A) .. .... 930 | 057C (E-2 9C) .. .... 930 | 0628 (F#2 9E) .. .... 930 | .... .. ... . |
|    45 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    46 | ....  ... ..  .. .... 936 | ....  ... ..  .. .... 936 | ....  ... ..  .. .... 936 | .... .. ... . |
